# Ludwieg and Tillman Strong Adverse Pressure Gradient
IDENT = 1200
V = 0.150000

# Summary data
# X     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE     BETA
  45.8  15.55   0.100  0.4335  0.0015  20.33
  91.6  16.00   0.200  0.4460  0.0030  19.88
 229.0  18.37   0.500  0.5120  0.0075  17.51
 458.0  20.18   1.000  0.5625  0.0151  15.70
 687.0  21.46   1.500  0.5980  0.0226  14.42
 916.0  23.00   2.000  0.6410  0.0302  12.88
1145.0  24.29   2.500  0.6770  0.0677  11.59
1374.0  25.58   3.000  0.7130  0.0453  10.30
1832.0  28.26   4.000  0.7875  0.0603   7.62
2290.0  30.68   5.000  0.8550  0.0754   5.20
2748.1  33.09   6.000  0.9220  0.0905   2.80
3206.1  34.77   7.000  0.9690  0.1056   1.11
3664.1  35.59   8.000  0.9920  0.1207   0.29
4122.1  35.81   9.000  0.9980  0.1358   0.07
4580.1  35.88  10.000  1.0000  0.1509   0.0

# Station 6 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     38.82
  20.1  11.84   0.050  0.3050  0.0005  26.98
  40.3  13.98   0.100  0.3600  0.0011  24.84
  80.5  15.72   0.200  0.4050  0.0021  23.10
 201.4  17.90   0.500  0.4610  0.0053  20.92
 402.7  19.57   1.000  0.5040  0.0105  19.25
 604.1  21.00   1.500  0.5410  0.0158  17.82
 805.4  22.32   2.000  0.5750  0.0211  16.50
1006.8  23.56   2.500  0.6070  0.0264  15.26
1208.1  24.88   3.000  0.6410  0.0316  13.94
1610.9  27.56   4.000  0.7100  0.0422  11.26
2013.6  30.10   5.000  0.7755  0.0527   8.72
2416.3  32.69   6.000  0.8420  0.0632   6.13
2819.0  34.76   7.000  0.8955  0.0738   4.06
3221.7  36.88   8.000  0.9500  0.0843   1.94
3624.4  37.97   9.000  0.9780  0.0949   0.85
4027.1  38.63  10.000  0.9950  0.1054   0.19
4429.8  38.72  11.000  0.9975  0.1160   0.10
4832.6  38.82  12.000  1.0000  0.1265   0.0

# Station 7 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     40.75
  18.7   8.48   0.050  0.2080  0.0004  32.27
  37.5  11.82   0.100  0.2900  0.0008  28.93
  74.9  15.53   0.200  0.3810  0.0016  25.22
 187.3  17.73   0.500  0.4350  0.0041  23.02
 374.6  19.07   1.000  0.4680  0.0082  21.68
 562.0  20.78   1.500  0.5100  0.0123  19.97
 749.3  21.80   2.000  0.5350  0.0165  18.95
 936.6  23.02   2.500  0.5650  0.0206  17.73
1123.9  24.25   3.000  0.5950  0.0247  16.50
1498.6  26.69   4.000  0.6550  0.0329  14.06
1873.2  29.14   5.000  0.7150  0.0412  11.61
2247.9  31.42   6.000  0.7710  0.0494   9.33
2622.5  33.88   7.000  0.8315  0.0576   6.87
2997.1  35.94   8.000  0.8820  0.0659   4.81
3371.8  38.02   9.000  0.9330  0.0741   2.73
3746.4  39.32  10.000  0.9650  0.0823   1.43
4121.1  40.22  11.000  0.9870  0.0905   0.53
4495.7  40.71  12.000  0.9990  0.0988   0.04
4870.3  40.75  13.000  1.0000  0.1070   0.0

# Station 8 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     44.42
  16.8  11.24   0.050  0.2530  0.0003  33.18
  33.7  12.30   0.100  0.2770  0.0006  32.12
  67.3  14.66   0.200  0.3300  0.0012  29.76
